stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,level_id,platform_code
"at:43:31434:0:2","Schönfeld Schüldenweg","48.18805678","15.85629783","3441","","","Level 0","2"
"at:43:31435:0:1","Ollersbach Hauptstraße","48.18669128","15.84634449","3441","","","Level 0","1"
"at:43:31435:0:2","Ollersbach Hauptstraße","48.18660144","15.84638043","3441","","","Level 0","2"
"at:43:31436:0:1","Ollersbach Bahnstraße","48.18798491","15.84435023","3441","","","Level 0","1"
"at:43:31437:0:1","Schrabatz Schönfelder Str.","48.18960789","15.86465216","3441","","","Level 0","1"
"at:43:31437:0:2","Schrabatz Schönfelder Str.","48.18967976","15.86467013","3441","","","Level 0","2"
"at:43:31438:0:1","Neulengbach Eitzenberg","48.19318906","15.88017505","3441","","","Level 0","1"
"at:43:31438:0:2","Neulengbach Eitzenberg","48.19331481","15.88008522","3441","","","Level 0","2"
"at:43:31439:0:1","Neulengbach Ebersberger Straße","48.19335074","15.89347011","3441","","","Level 0","1"
"at:43:31439:0:2","Neulengbach Ebersberger Straße","48.19329086","15.89334435","3441","","","Level 0","2"
"at:43:3144:0:1","Baden Weikersdorfer Platz","48.00332491","16.22558626","3045","","","Level 0","1"
"at:43:3144:0:2","Baden Weikersdorfer Platz","48.00316263","16.22554134","3045","","","Level 0","2"
"at:43:31440:0:1","Neulengbach Straß","48.19510530","15.88729869","3441","","","Level 0","1"
"at:43:31440:0:2","Neulengbach Straß","48.19527296","15.88657105","3441","","","Level 0","2"
"at:43:31441:0:1","Laa an der Tulln Laskegasse","48.19091343","15.87338378","3441","","","Level 0","1"
"at:43:31441:0:2","Laa an der Tulln Laskegasse","48.19102721","15.87327599","3441","","","Level 0","2"
"at:43:31442:0:1","Laa an der Tulln Dambacher Str.","48.19000914","15.87044629","3441","","","Level 0","1"
"at:43:31442:0:2","Laa an der Tulln Dambacher Str.","48.19009897","15.87036544","3441","","","Level 0","2"
"at:43:31443:0:1","Neulengbach Sturmbrücke","48.19256028","15.89621896","3441","","","Level 0","1"
"at:43:31443:0:2","Neulengbach Sturmbrücke","48.19250638","15.89639862","3441","","","Level 0","2"
"at:43:31444:0:1","Neulengbach Haager Straße","48.19256626","15.90337853","3441","","","Level 0","1"
"at:43:31444:0:2","Neulengbach Haager Straße","48.19216504","15.90309107","3441","","","Level 0","2"
"at:43:31445:0:1","Neulengbach Umseer Straße","48.20154813","15.89809644","3441","","","Level 0","1"
"at:43:31445:0:2","Neulengbach Umseer Straße","48.20136850","15.89750355","3441","","","Level 0","2"
"at:43:31446:0:1","Umsee","48.20227259","15.87215309","3441","","","Level 0","1"
"at:43:31446:0:2","Umsee","48.20194329","15.87235970","3441","","","Level 0","2"
"at:43:31447:0:1","Unterwolfsbach Landesstraße","48.21346762","15.84727874","3441","","","Level 0","1"
"at:43:31448:0:1","Wolfersdorf Kapelle","48.19993151","15.85876819","3441","","","Level 0","1"
"at:43:31449:0:1","Matzelsdorf/Neulengbach","48.20145233","15.87979776","3441","","","Level 0","1"
"at:43:31449:0:2","Matzelsdorf/Neulengbach","48.20139844","15.87978877","3441","","","Level 0","2"
"at:43:31451:0:1","Eisengraben Zwettler Straße","48.52569121","15.45375377","3241","","","Level 0","1"
"at:43:31451:0:2","Eisengraben Zwettler Straße","48.52558412","15.45274765","3241","","","Level 0","2"
"at:43:31453:0:1","Kronberg/Ruprechtshofen Abzw. Miniberg","48.12438458","15.23072903","3302","","","Level 0","1"
"at:43:31454:0:1","Kronberg/Ruprechtshofen Nr. 2","48.12353908","15.23945167","3302","","","Level 0","1"
"at:43:31455:0:1","Ockert Nr. 5","48.10540248","15.23030682","3302","","","Level 0","1"
"at:43:31456:0:1","Ockert Nr. 10","48.11142474","15.22422523","3302","","","Level 0","1"
"at:43:31457:0:1","Harbach/St. Leonhard Nr. 12","48.09357186","15.28247199","3302","","","Level 0","1"
"at:43:31458:0:1","Lachau Nr. 5","48.10016543","15.27356969","3302","","","Level 0","1"
"at:43:31459:0:1","Lachau Nr. 8","48.09944552","15.26303245","3302","","","Level 0","1"
"at:43:31460:0:1","Geigenberg Abzw. Straß","48.12765251","15.28153774","3329","","","Level 0","1"
"at:43:31460:0:2","Geigenberg Abzw. Straß","48.12816217","15.28230131","3329","","","Level 0","2"
"at:43:31461:0:1","Hörgerstall","48.11582102","15.28377455","3302","","","Level 0","1"
"at:43:31462:0:1","Kerndl Riegler","48.12045679","15.28083706","3302","","","Level 0","1"
"at:43:31464:0:1","Gumprechtsfelden Sill","48.10246308","15.16780204","3477","","","Level 0","1"
"at:43:31466:0:1","Neumühl/Wieselburg","48.11084893","15.14240667","3477","","","Level 0","1"
"at:43:31469:0:1","Markersdorf/Neulengbach Abzw. Haag","48.22020141","15.93094783","3441","","","Level 0","1"
"at:43:3147:0:1","Baumgarten/Tullnerfeld Hauptstraße","48.28299550","16.03583512","3485","","","Level 0","1"
"at:43:3147:0:2","Baumgarten/Tullnerfeld Hauptstraße","48.28286996","16.03578122","3485","","","Level 0","2"
"at:43:31470:0:2","Markersdorf/Neulengbach Kläranlage","48.22161390","15.92144365","3441","","","Level 0","2"
"at:43:31471:0:2","Alt Anzing Abzw. Berging","48.22139844","15.87375209","3441","","","Level 0","2"
"at:43:31472:0:1","Kerndl Abzw. Etzen","48.11122081","15.27913026","3302","","","Level 0","1"
"at:43:31477:0:1","Eisengraberamt Abzw. Simlinger","48.56093508","15.44100667","3241","","","Level 0","1"
"at:43:31477:0:2","Eisengraberamt Abzw. Simlinger","48.56089346","15.44091684","3241","","","Level 0","2"
"at:43:3148:0:1","Baumgarten/Tullnerfeld Schule","48.28240967","16.02863961","3485","","","Level 0","1"
"at:43:3148:0:2","Baumgarten/Tullnerfeld Schule","48.28242162","16.02934030","3485","","","Level 0","2"
"at:43:31487:0:1","Neulengbach Rettungsgasse","48.19005106","15.90019850","","","","Level 0","1"
"at:43:31487:0:2","Neulengbach Rettungsgasse","48.18988338","15.90015358","","","","Level 0","2"
"at:43:31489:0:1","Lachau Nr. 10","48.09717173","15.25784019","3302","","","Level 0","1"
"at:43:3149:0:1","Bad Deutsch-Altenburg Burggasse","48.12888768","16.89822678","3069","","","Level 0","1"
"at:43:3149:0:2","Bad Deutsch-Altenburg Burggasse","48.12834805","16.89699608","3069","","","Level 0","2"
"at:43:31506:0:1","Frohsdorf Schloßgasse","47.74335523","16.25379336","3531","","","Level 0","1"
"at:43:31506:0:2","Frohsdorf Schloßgasse","47.74331899","16.25346996","3531","","","Level 0","2"
"at:43:31508:0:1","Warth Ausiedlung","47.65290119","16.11367414","3417","","","Level 0","1"
"at:43:31508:0:2","Warth Ausiedlung","47.65297380","16.11381787","3417","","","Level 0","2"
"at:43:3151:0:1","Baden Göschlgasse","48.00238727","16.24958026","3045","","","Level 0","1"
"at:43:31512:0:1","Bad Erlach Kirche","47.72720582","16.21669294","3398","","","Level 0","1"
"at:43:31512:0:2","Bad Erlach Kirche","47.72713331","16.21662107","3398","","","Level 0","2"
"at:43:31515:0:1","Grimmenstein K.-Schrammel-Siedlung","47.60141614","16.11756384","3388","","","Level 0","1"
"at:43:31515:0:2","Grimmenstein K.-Schrammel-Siedlung","47.60193706","16.11757283","3388","","","Level 0","2"
"at:43:31516:0:1","Olbersdorf Lehensiedlung","47.60548642","16.12484918","3384","","","Level 0","1"
"at:43:31516:0:2","Olbersdorf Lehensiedlung","47.60554093","16.12487613","3384","","","Level 0","2"
"at:43:3152:0:1","Berg bei Wolfsthal Hauptstraße","48.10376484","17.04298130","1120","","","Level 0","1"
"at:43:3152:0:2","Berg bei Wolfsthal Hauptstraße","48.10368685","17.04301723","1120","","","Level 0","2"
"at:43:31520:0:1","Pitten Schlossbad","47.71339056","16.17834386","3398","","","Level 0","1"
"at:43:31520:0:2","Pitten Schlossbad","47.71457521","16.17896369","3398","","","Level 0","2"
"at:43:31521:0:1","Sautern Waldsiedlung","47.70993315","16.16459065","3398","","","Level 0","1"
"at:43:31521:0:2","Sautern Waldsiedlung","47.70984248","16.16466251","3398","","","Level 0","2"
"at:43:31522:0:1","Sautern Ort","47.70856100","16.15794312","3398","","","Level 0","1"
"at:43:31522:0:2","Sautern Ort","47.70877861","16.15850906","3398","","","Level 0","2"
"at:43:31524:0:1","Hinterbrühl bei Pitten Nr. 36/37","47.70324132","16.21760922","3398","","","Level 0","1"
"at:43:31524:0:2","Hinterbrühl bei Pitten Nr. 36/37","47.70322923","16.21777091","3398","","","Level 0","2"
"at:43:31525:0:1","Seebenstein Liechtensteinstr.","47.70018226","16.15222983","3398","","","Level 0","1"
"at:43:31525:0:2","Seebenstein Liechtensteinstr.","47.70081706","16.15390070","3398","","","Level 0","2"
"at:43:31526:0:1","Seebenstein Kirche","47.69989207","16.14878928","3398","","","Level 0","1"
"at:43:31526:0:2","Seebenstein Kirche","47.69999484","16.14876233","3398","","","Level 0","2"
"at:43:31527:0:1","Seebenstein Schlossweg","47.69873126","16.14466602","3398","","","Level 0","1"
